psu,state,locality,latitude,longitude,pop
10213,12,101,11.707224649,31.3533511520278,4500
10023,12,107,11.8479726144103,30.5493788775641,4200
9643,12,104,10.9322962840857,31.2305651413429,4000
9787,12,100,11.9106870193939,30.9651433191818,3962
10728,12,94,10.9771337986286,29.7309429819143,3900
10778,12,94,11.0776464506154,29.7041718520769,3822
9599,12,99,12.3681943321714,31.2493894474286,3780
10019,12,107,11.5076310389444,30.0572068989722,3540
10025,12,107,11.8614414192571,30.4644289702857,3500
5311108,12,94,11.0138445924706,29.737715374,3453
5311113,12,94,11.0168327419474,29.7253527589474,3450
5311103,12,94,10.9976842453889,29.7207960152222,3000
10788,12,94,11.7177856808108,30.790663257,3000
5311102,12,94,10.9984692614737,29.7134082473684,3000
10701,12,95,11.255845106,29.4786051482,5816
10789,12,100,11.6743860091622,31.037096204973,3000
9580,12,99,12.1002763641818,31.259267544,3000
9536,12,99,12.5558843797187,31.38130786475,3000
10832,12,103,10.5924119586389,30.5657817281111,3000
10051,12,98,11.9448716371429,30.0298727674571,2900
9530,12,99,12.5886233186471,31.2802752353529,2860
9688,12,105,10.1840164354848,30.7901171471818,2860
10333,12,102,12.0671852381111,31.7360220187778,2820
10061,12,98,11.8776653504857,29.7122187178571,3250
9933,12,97,12.4736578526857,29.7983551452571,2723
9724,12,105,10.3553529731944,30.68638938975,2700
5311101,12,94,11.0045041906563,29.7018781682813,2682
9944,12,97,12.5462264822941,29.7622500801176,2630
9566,12,99,12.1921547452941,31.2496686252941,4100
5311106,12,94,11.0081204023824,29.7067917368824,2580
10718,12,95,11.4165229001765,29.6607114370294,2562
9877,12,96,12.057421928973,29.6421706367027,2500
9670,12,104,11.267742697625,31.006301223225,2500
5311115,12,94,11.0200368071053,29.7493092863947,2460
10684,12,95,11.1085389310571,29.8125691124,2343
5311112,12,94,11.0169195991,29.7179491237,2220
10681,12,95,11.1248857036667,29.7826052929167,2100
9793,12,100,11.7619978001,31.2493241347,2100
10673,12,95,11.0844844182941,29.8185221022353,2066
10725,12,95,11.182569507,29.9200680495143,2015
10799,12,100,11.7169745482353,31.0495915477647,2000
9829,12,106,12.1403533041389,30.8270235639444,2000
